OTU	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
ASV000082	0	0	4	0	0	0	0	0	0	0	0	0	236	339	77	18	0	11	4	0	0	146	0	0	10	21	0	21	20	16
ASV000103	0	2	0	1	8	0	103	13	3	3	332	0	0	0	3	0	65	9	17	43	63	38	34	38	37	23	3	2	21	28
ASV000087	11	16	9	0	0	0	0	0	0	0	0	0	51	572	193	0	0	0	0	0	0	0	0	0	0	0	0	3	10	4
ASV000080	24	2	1	0	6	0	38	9	0	19	10	4	0	0	1	20	34	55	16	54	133	52	57	96	48	58	30	0	0	100
ASV000120	80	0	0	0	0	0	0	378	0	0	0	0	11	0	0	4	0	0	0	0	0	12	1	0	0	0	0	324	0	0
ASV000088	0	9	10	0	0	0	0	9	21	0	0	0	0	0	0	19	262	166	3	40	26	19	3	127	6	17	0	13	7	51
ASV000106	0	261	0	0	0	0	0	0	0	0	2	0	4	0	5	3	454	17	0	19	0	0	0	0	0	10	0	11	4	13
ASV000086	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	14	18	9	0	0	0	0	0	0	0	0	0	697	11	16
ASV000093	92	0	10	2	0	0	551	0	0	0	0	0	0	50	0	0	0	0	11	5	0	9	9	0	31	13	0	0	6	0
ASV000083	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	13	6	13	0	0	0	0	0	0	0	0	0	14	699	7
ASV000095	29	2	0	0	0	0	0	0	0	0	0	0	0	3	56	39	30	59	0	20	2	7	13	16	0	0	0	5	14	484
ASV000089	1	2	2	0	1	0	115	0	0	0	0	0	0	64	2	20	40	55	48	28	42	28	87	14	16	71	57	20	19	34
ASV000098	0	5	0	0	0	0	0	25	26	0	2	0	0	0	0	24	110	18	39	1	1	367	34	16	21	27	3	38	1	0
ASV000096	35	72	7	0	46	0	0	0	0	0	4	0	0	73	31	59	18	67	42	27	63	44	43	31	50	10	1	8	10	16
ASV000374	0	0	0	5	1	0	0	6	4	9	430	296	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV000430	0	0	0	0	1	0	0	179	464	0	0	90	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0
ASV000114	12	0	167	3	0	0	14	0	0	0	0	0	0	5	0	189	0	48	28	57	41	27	45	18	7	7	0	0	14	0
ASV000108	0	0	0	0	0	0	0	7	0	0	0	5	0	0	4	0	12	0	12	0	0	203	0	0	376	0	0	0	0	62
ASV000109	29	14	9	0	0	14	0	17	8	0	6	0	3	36	26	14	36	79	43	57	36	51	59	33	62	11	4	22	4	5
ASV000104	0	0	0	0	0	0	67	16	0	4	0	0	0	0	0	42	45	34	49	82	90	80	62	43	5	5	4	5	10	5
ASV000319	90	0	0	3	0	0	0	0	0	439	0	72	0	0	0	1	6	9	0	0	11	5	0	0	0	4	4	0	0	0
ASV000159	5	4	2	0	1	0	0	11	266	0	0	14	0	33	1	39	2	15	15	37	21	47	12	23	54	9	5	10	2	12
ASV000142	17	39	7	0	0	0	0	2	12	0	0	134	5	76	0	11	140	21	31	18	22	1	9	22	4	10	2	27	8	3
ASV000261	19	20	277	0	2	0	0	254	0	0	5	0	0	0	14	0	24	5	0	0	0	0	0	0	0	0	0	0	0	1
ASV000131	2	0	5	0	2	0	0	99	0	0	13	0	0	0	2	67	11	149	71	0	3	46	5	53	33	0	11	0	2	42
ASV000137	0	13	215	0	0	0	0	0	0	0	0	0	0	0	12	13	34	12	40	17	15	14	35	15	26	0	0	0	0	154
ASV000110	0	0	0	0	0	0	0	0	0	0	0	0	189	23	0	5	3	2	0	0	0	0	0	0	0	0	0	381	6	5
ASV000132	10	0	0	0	0	0	0	50	46	3	0	0	0	0	9	143	0	0	0	0	0	0	0	0	0	0	0	0	0	353
ASV000111	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	11	16	11	0	0	0	0	0	0	0	0	0	530	9	19
ASV000102	1	0	0	0	7	0	0	0	12	0	0	0	0	0	0	54	23	80	10	107	117	54	68	41	19	7	4	3	0	2
ASV000113	0	0	4	0	3	0	21	13	10	6	8	0	0	0	0	9	11	88	35	40	32	109	41	58	22	87	7	1	3	1
ASV000119	6	8	18	0	0	0	0	0	0	0	0	0	215	192	143	0	0	0	0	0	0	0	0	0	0	0	0	11	5	5
