OTU	Domain	Phylum	Class	Order	Family	Genus	Species
ASV005588	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005591	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	
ASV005598	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Calonectria	Calonectria_chinensis
ASV005600	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium	
ASV005606	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV005615	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Conlarium	
ASV005618	Fungi	Basidiomycota	Agaricomycetes				
ASV005638	Fungi	Ascomycota	Sordariomycetes				
ASV005642	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae		
ASV005643	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005645	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	
ASV005648	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_servazzii
ASV005656	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Kappamycetaceae	Kappamyces	
ASV005659	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta_canina
ASV005665	Fungi	Ascomycota					
ASV005668	Fungi	Ascomycota					
ASV005669	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cladorrhinum	
ASV005674	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	
ASV005678	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_hiemalis
ASV005685	Fungi	Ascomycota	Sordariomycetes				
ASV005686	Fungi	Ascomycota	Sordariomycetes				
ASV005689	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005693	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae		
ASV005696	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_minutus
ASV005700	Fungi						
ASV005711	Fungi	Ascomycota	Sordariomycetes				
ASV005726	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium	
ASV005743	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV005744	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV005747	Fungi	Basidiomycota	Cystobasidiomycetes				
ASV005751	Fungi	Glomeromycota					
ASV005754	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alpina
ASV005782	Fungi	Ascomycota					
