pathway	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
PWY-7210	7580.7312	8470.8565	2515.8838	6676.985	4929.7899	10319.5362	7384.3236	4316.7196	8433.3448	8379.2533	6504.3041	8775.513	5778.6171	6836.4138	5451.4889	9252.6131	6975.0813	7134.3081	5441.8664	5324.3106	6093.3606	6959.7275	4190.1087	6665.3059	5001.2914	7394.0985	8286.8556	8245.9921	4767.5534	5344.5787
PWY-7219	13834.3408	18639.356	5126.8073	19423.1	16373.8939	18356.0949	16512.6471	6976.5248	13425.8467	17688.9752	11545.7048	14657.9458	10454.6414	11739.3453	11060.7989	20130.1661	13756.0206	14216.5178	11820.6377	11343.5177	13218.3462	12550.5016	9097.7108	12999.9984	10984.8808	17659.8508	20031.4725	15164.5666	14466.1938	10143.056
PWY-7220	9753.3352	11467.3956	3846.3137	10869.0909	12623.9353	19268.5542	10889.3999	4984.0802	9494.2082	10714.8416	8042.5222	11007.436	7653.4516	8791.7243	8312.2471	10779.2574	9213.3655	9493.4824	7593.4931	7417.2741	8412.8984	8473.733	5899.373	8401.1866	6713.7985	10636.4248	11965.1638	10268.8452	11444.8767	6883.562
PWY-7221	9468.8859	11613.693	3490.8569	11085.5905	10667.887	12862.8258	10861.6071	4928.3271	9530.5947	11363.4901	7613.2487	10016.7047	7359.9976	8283.5184	7897.4216	12697.3436	8889.0987	9091.1252	7557.2769	7286.5653	8441.871	8194.1113	5808.4405	8533.3478	7070.6081	10692.7195	12153.5421	10118.6198	9280.1347	6581.9422
PWY-7222	9753.3352	11467.3956	3846.3137	10869.0909	12623.9353	19268.5542	10889.3999	4984.0802	9494.2082	10714.8416	8042.5222	11007.436	7653.4516	8791.7243	8312.2471	10779.2574	9213.3655	9493.4824	7593.4931	7417.2741	8412.8984	8473.733	5899.373	8401.1866	6713.7985	10636.4248	11965.1638	10268.8452	11444.8767	6883.562
PWY-7228	9806.5826	11913.1126	3721.53	11347.3873	11678.8866	14797.98	11203.1174	5076.0741	9839.516	11462.4626	8032.935	10723.3041	7638.5593	8717.8002	8290.3903	11825.8828	9263.8772	9523.7547	7783.3698	7531.516	8640.242	8500.9649	6006.9222	8717.7348	7082.2208	11041.9214	12501.0442	10264.7796	10296.3598	6885.7252
PWY-7229	12276.9296	14834.1038	4486.9376	14259.9309	15433.0461	17613.4545	13404.6993	6266.6748	12001.0831	13996.5011	10137.2285	13620.2092	9451.6977	10849.0246	10178.5959	14609.0436	11653.4116	11930.8434	9729.1513	9351.1878	10688.9657	10727.1738	7436.0377	10822.9	8677.9955	13629.7519	15319.8882	12928.429	13638.6411	8599.132
PWY-7323	5061.1611	1831.155	1773.2208	1631.9599	10701.4144	11221.4705	3429.2753	1351.9101	395.5844	1180.1253	2942.3249	6360.4376	2036.7506	1382.22	1013.9923	2615.293	3817.727	3830.5751	2953.0766	2693.5442	3197.6694	2130.8146	2236.4145	2321.0153	1615.3924	2132.6485	1790.6457	3096.1661	9301.7261	2308.5415
PWY-7328	1725.8366	5867.0614	1115.2644	6997.3557	1269.2663	117.6027	4308.2801	630.4379	2002.6702	5189.0005	2199.1878	794.6806	1262.2595	1309.9415	1217.8333	2110.6888	2851.4153	3127.5178	3132.024	2804.9547	3327.8788	2267.49	2314.3069	3148.5168	3041.6552	5902.801	6938.095	1380.2463	798.974	2015.724
PWY-7347	317.1921	332.4185	98.6816	34.4496	967.7155	236.6313	630.2347	550.4039	83.2768	44.8945	619.7167	163.6371	8.9938	284.5484	229.6268	1014.0522	1539.9826	1345.8597	1318.2536	805.6051	1212.9608	738.3181	900.6428	888.7445	578.2993	381.3844	70.2928	243.0325	219.499	795.7982
