OTU	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3	Phylum
ASV000021	204	66	48	7	76	0	917	787	41	14	273	418	39	7	9	122	326	509	118	102	88	97	49	137	65	34	14	10	18	69	Ascomycota
ASV000017	39	10	18	0	0	0	0	0	623	0	0	13	684	1225	1187	23	21	24	25	55	17	7	24	0	49	6	0	329	79	40	Ascomycota
ASV000022	54	69	77	495	12	0	172	4	3	199	59	38	152	20	40	41	86	114	38	38	93	44	31	19	52	388	520	161	16	305	Ascomycota
ASV000023	52	19	26	6	9	0	309	43	456	33	14	24	60	59	5	190	196	286	125	327	168	119	163	180	130	104	25	52	78	60	Ascomycota
ASV000020	0	11	28	11	18	0	0	0	0	0	7	0	1	8	0	0	168	538	169	540	171	123	132	836	105	65	33	35	168	0	Ascomycota
ASV000032	9	315	1214	0	0	0	0	41	22	0	0	0	11	2	8	8	573	49	3	34	0	7	732	14	0	15	0	10	2	6	Mortierellomycota
ASV000045	454	88	15	430	520	0	52	442	518	53	30	7	2	0	0	14	4	20	83	14	19	50	39	46	66	24	9	0	10	3	Mortierellomycota
ASV000037	188	2414	82	0	0	0	0	0	0	0	0	0	53	47	44	0	81	0	16	0	0	31	37	0	0	0	0	0	10	4	Ascomycota
ASV000019	0	0	0	0	0	2920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000085	0	19	0	0	76	0	0	0	2130	125	0	59	0	147	55	0	46	36	35	13	13	17	31	10	10	11	0	28	6	10	Ascomycota
ASV000027	4	11	302	114	15	0	632	22	11	79	68	35	2	24	8	13	94	64	41	150	194	111	158	46	130	157	204	26	34	77	Basidiomycota
ASV000028	49	10	106	0	0	0	268	0	0	0	142	0	21	43	0	79	61	90	187	173	137	142	149	144	104	42	10	513	7	0	Ascomycota
ASV000056	541	11	11	5	1407	0	0	63	0	0	76	243	0	6	0	15	2	0	9	10	19	0	0	0	0	0	0	0	7	0	Basidiomycota
ASV000034	14	15	32	0	0	0	0	0	0	0	0	0	706	962	480	0	0	0	0	0	0	0	0	0	0	0	0	15	28	14	Ascomycota
ASV000052	0	0	0	4	229	0	739	40	371	19	562	22	0	0	0	15	0	9	0	34	46	0	0	43	38	15	6	42	0	0	Ascomycota
ASV000033	174	0	13	164	114	0	119	32	0	54	19	0	0	12	0	20	20	18	228	156	204	393	82	57	170	59	38	38	8	0	Mortierellomycota
ASV000035	0	37	0	211	0	4	0	0	0	165	113	104	0	13	0	0	0	0	13	16	29	0	15	29	38	509	883	5	0	0	Ascomycota
ASV000036	35	16	0	8	9	0	0	30	0	32	7	0	4	7	14	65	239	169	68	126	125	126	103	323	60	85	17	16	88	314	Ascomycota
ASV000041	0	16	212	0	0	0	55	0	0	0	0	0	474	346	315	3	69	9	36	3	37	12	11	3	37	0	0	136	8	256	Ascomycota
ASV000038	6	4	1	0	0	0	2	6	9	181	5	4	0	0	0	144	132	51	77	150	143	96	86	579	192	59	22	2	0	1	Rozellomycota
ASV000077	224	26	19	0	99	0	44	134	501	119	148	178	0	23	74	13	24	16	30	11	39	29	22	38	51	10	10	10	0	6	Ascomycota
ASV000094	330	180	0	0	0	0	0	0	0	727	34	350	0	13	16	15	31	0	0	0	0	95	19	0	47	16	0	14	0	0	Ascomycota
ASV000030	0	0	0	0	0	1860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000039	1	2	4	0	6	0	20	42	31	0	0	0	0	36	1	17	11	51	12	81	38	80	1241	66	34	36	2	1	0	33	Ascomycota
ASV000040	14	0	26	0	8	0	0	16	0	14	0	0	0	0	0	391	0	343	365	35	110	221	28	52	112	40	6	9	10	10	Ascomycota
ASV000044	7	10	6	0	0	0	0	22	0	0	0	0	111	43	136	16	18	19	12	0	3	166	7	5	6	0	0	951	22	24	Ascomycota
ASV000047	0	0	0	53	0	0	0	0	0	115	61	41	0	0	0	0	0	0	2	16	23	0	11	12	34	532	684	0	0	0	Ascomycota
ASV000050	0	9	6	216	4	0	332	0	0	125	40	29	3	0	2	13	108	40	24	39	50	35	26	11	40	159	227	4	5	2	Ascomycota
ASV000043	0	0	0	0	0	1525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000097	1	5	1	2	81	0	0	789	12	90	15	0	0	0	0	6	49	11	128	73	23	16	20	73	96	7	3	0	0	0	
ASV000079	19	782	14	0	0	3	183	0	286	0	0	9	12	16	96	1	8	3	0	0	0	6	0	8	2	7	0	7	0	10	Ascomycota
ASV000048	32	5	9	4	9	0	231	13	17	26	0	0	0	0	0	74	44	25	107	54	139	128	108	55	311	54	10	3	0	6	Ascomycota
ASV000049	2	10	0	1	43	0	0	24	16	6	10	0	0	0	0	35	78	0	0	5	59	16	9	1072	10	5	39	0	0	0	Ascomycota
ASV000051	115	9	3	43	4	0	0	0	0	9	0	0	0	0	2	111	103	58	379	114	122	91	45	7	139	20	7	0	9	5	
ASV000054	190	15	52	1	4	0	0	0	0	3	0	0	9	4	14	166	115	231	7	57	20	28	54	58	11	19	11	10	14	286	Ascomycota
ASV000068	79	10	22	0	0	0	33	362	0	0	0	0	165	67	40	81	46	9	21	54	66	104	21	25	26	22	0	22	19	74	Ascomycota
ASV000121	130	0	16	0	0	0	0	422	472	0	0	0	288	0	0	4	0	0	0	0	9	0	10	0	0	0	0	7	0	0	Basidiomycota
ASV000057	0	3	3	281	0	3	0	0	0	105	30	85	0	2	0	0	0	0	9	20	168	0	0	9	22	258	334	0	2	1	Mortierellomycota
ASV000090	2	4	2	4	10	0	0	684	7	0	22	0	28	0	0	12	58	45	75	97	146	4	35	31	24	39	2	2	0	1	Mortierellomycota
ASV000055	0	0	0	454	0	0	0	0	0	157	0	13	0	0	0	0	0	0	0	3	19	0	3	17	5	243	418	0	0	0	Basidiomycota
ASV000205	0	0	0	0	13	0	0	26	0	9	1212	8	0	0	0	0	0	0	14	2	1	1	0	0	2	3	7	0	0	0	Ascomycota
ASV000053	8	0	9	0	3	0	164	5	0	0	9	0	174	47	162	70	17	96	50	50	31	24	54	129	55	12	12	60	15	40	Ascomycota
ASV000100	0	9	0	0	1	0	0	0	661	9	5	17	0	0	0	2	152	8	39	30	1	7	15	61	231	9	5	1	0	1	Ascomycota
ASV000112	3	2	8	55	74	0	0	8	521	7	4	21	5	0	458	0	0	0	0	3	4	11	0	0	21	0	0	0	0	14	Ascomycota
ASV000059	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	33	0	0	1022	16	8	30	0	0	0	0	0	Ascomycota
ASV000063	0	0	7	0	0	0	31	0	0	0	0	0	0	0	1	11	71	194	87	133	84	97	91	73	111	34	0	50	0	60	Ascomycota
ASV000065	46	8	8	0	4	0	33	23	17	10	0	0	1	0	0	34	87	120	81	35	50	53	49	392	30	20	13	1	3	0	Ascomycota
ASV000061	77	6	62	1	4	0	97	8	3	0	0	0	0	0	0	26	117	79	117	83	119	54	109	38	80	19	6	0	5	0	Ascomycota
ASV000064	56	5	75	3	0	0	443	10	0	0	0	0	92	4	38	6	44	32	0	84	21	32	25	23	49	17	4	8	36	0	Ascomycota
ASV000060	0	0	0	0	0	0	0	0	0	0	0	0	48	19	1	13	28	14	0	0	0	0	0	0	0	0	0	921	13	19	Ascomycota
ASV000071	44	0	8	2	0	0	308	0	14	12	11	7	0	16	9	43	17	89	83	18	14	81	36	56	73	32	8	58	0	35	Ascomycota
ASV000190	0	6	204	0	5	0	0	0	0	7	778	0	0	0	0	0	0	9	2	0	0	55	0	0	5	3	0	0	0	0	Ascomycota
ASV000074	2	1	9	0	0	0	0	0	0	0	0	0	955	33	25	0	0	0	0	0	0	0	2	0	0	0	0	32	2	0	Ascomycota
ASV000076	0	0	0	298	6	0	0	0	0	134	30	18	0	0	0	0	0	0	12	14	24	0	5	11	19	175	308	0	0	0	Ascomycota
ASV000162	0	58	0	54	18	0	11	0	0	194	464	100	0	53	34	0	2	0	4	0	0	6	0	0	16	20	15	0	0	1	Basidiomycota
ASV000069	0	0	0	1	3	0	210	7	4	16	15	6	0	0	1	52	33	0	9	170	57	41	54	39	185	103	10	2	1	27	Ascomycota
ASV000067	0	3	6	7	0	0	0	20	0	0	0	9	3	1	2	23	44	77	58	74	101	64	81	97	192	45	18	50	12	49	Ascomycota
ASV000072	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31	9	6	0	0	0	0	0	0	0	0	0	0	7	37	942	Ascomycota
ASV000070	0	0	0	0	0	0	962	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	11	0	0	0	0	0	0	0	
ASV000075	6	7	9	7	0	0	0	0	4	46	17	8	0	0	0	115	36	61	34	30	120	54	35	6	340	24	19	5	3	10	Ascomycota
ASV000117	31	0	801	0	0	0	48	0	0	0	0	0	9	0	0	0	0	8	3	0	0	9	0	0	0	86	0	0	0	0	Mortierellomycota
ASV000066	0	0	4	0	0	0	0	0	0	0	0	0	0	35	0	11	15	11	0	0	0	0	0	0	0	0	0	13	879	14	Basidiomycota
ASV000118	0	5	0	0	5	0	135	19	0	3	494	7	0	16	117	15	21	17	21	16	16	22	15	0	15	6	7	0	3	3	Ascomycota
ASV000145	0	0	0	2	829	8	0	45	0	0	49	0	0	0	0	0	0	0	9	9	7	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000078	33	0	186	0	0	0	72	0	0	0	0	0	3	4	0	50	3	73	7	36	69	102	12	105	57	10	5	58	56	1	Basidiomycota
ASV000091	4	5	0	0	5	0	3	16	0	0	162	0	0	94	170	24	47	0	11	71	84	76	45	0	62	7	2	3	2	43	Ascomycota
ASV000082	0	0	4	0	0	0	0	0	0	0	0	0	236	339	77	18	0	11	4	0	0	146	0	0	10	21	0	21	20	16	Ascomycota
ASV000103	0	2	0	1	8	0	103	13	3	3	332	0	0	0	3	0	65	9	17	43	63	38	34	38	37	23	3	2	21	28	Basidiomycota
ASV000087	11	16	9	0	0	0	0	0	0	0	0	0	51	572	193	0	0	0	0	0	0	0	0	0	0	0	0	3	10	4	Ascomycota
ASV000080	24	2	1	0	6	0	38	9	0	19	10	4	0	0	1	20	34	55	16	54	133	52	57	96	48	58	30	0	0	100	Ascomycota
ASV000120	80	0	0	0	0	0	0	378	0	0	0	0	11	0	0	4	0	0	0	0	0	12	1	0	0	0	0	324	0	0	Ascomycota
ASV000088	0	9	10	0	0	0	0	9	21	0	0	0	0	0	0	19	262	166	3	40	26	19	3	127	6	17	0	13	7	51	Ascomycota
ASV000106	0	261	0	0	0	0	0	0	0	0	2	0	4	0	5	3	454	17	0	19	0	0	0	0	0	10	0	11	4	13	Ascomycota
ASV000086	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	14	18	9	0	0	0	0	0	0	0	0	0	697	11	16	Ascomycota
ASV000093	92	0	10	2	0	0	551	0	0	0	0	0	0	50	0	0	0	0	11	5	0	9	9	0	31	13	0	0	6	0	Ascomycota
ASV000083	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	13	6	13	0	0	0	0	0	0	0	0	0	14	699	7	Basidiomycota
ASV000095	29	2	0	0	0	0	0	0	0	0	0	0	0	3	56	39	30	59	0	20	2	7	13	16	0	0	0	5	14	484	Ascomycota
ASV000089	1	2	2	0	1	0	115	0	0	0	0	0	0	64	2	20	40	55	48	28	42	28	87	14	16	71	57	20	19	34	Ascomycota
ASV000098	0	5	0	0	0	0	0	25	26	0	2	0	0	0	0	24	110	18	39	1	1	367	34	16	21	27	3	38	1	0	Ascomycota
ASV000096	35	72	7	0	46	0	0	0	0	0	4	0	0	73	31	59	18	67	42	27	63	44	43	31	50	10	1	8	10	16	Ascomycota
ASV000374	0	0	0	5	1	0	0	6	4	9	430	296	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
ASV000430	0	0	0	0	1	0	0	179	464	0	0	90	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	
ASV000114	12	0	167	3	0	0	14	0	0	0	0	0	0	5	0	189	0	48	28	57	41	27	45	18	7	7	0	0	14	0	Ascomycota
ASV000108	0	0	0	0	0	0	0	7	0	0	0	5	0	0	4	0	12	0	12	0	0	203	0	0	376	0	0	0	0	62	Ascomycota
ASV000109	29	14	9	0	0	14	0	17	8	0	6	0	3	36	26	14	36	79	43	57	36	51	59	33	62	11	4	22	4	5	Ascomycota
ASV000104	0	0	0	0	0	0	67	16	0	4	0	0	0	0	0	42	45	34	49	82	90	80	62	43	5	5	4	5	10	5	Ascomycota
ASV000319	90	0	0	3	0	0	0	0	0	439	0	72	0	0	0	1	6	9	0	0	11	5	0	0	0	4	4	0	0	0	Ascomycota
ASV000159	5	4	2	0	1	0	0	11	266	0	0	14	0	33	1	39	2	15	15	37	21	47	12	23	54	9	5	10	2	12	Ascomycota
ASV000142	17	39	7	0	0	0	0	2	12	0	0	134	5	76	0	11	140	21	31	18	22	1	9	22	4	10	2	27	8	3	Ascomycota
ASV000261	19	20	277	0	2	0	0	254	0	0	5	0	0	0	14	0	24	5	0	0	0	0	0	0	0	0	0	0	0	1	Basidiomycota
ASV000131	2	0	5	0	2	0	0	99	0	0	13	0	0	0	2	67	11	149	71	0	3	46	5	53	33	0	11	0	2	42	
ASV000137	0	13	215	0	0	0	0	0	0	0	0	0	0	0	12	13	34	12	40	17	15	14	35	15	26	0	0	0	0	154	Ascomycota
ASV000110	0	0	0	0	0	0	0	0	0	0	0	0	189	23	0	5	3	2	0	0	0	0	0	0	0	0	0	381	6	5	Ascomycota
ASV000132	10	0	0	0	0	0	0	50	46	3	0	0	0	0	9	143	0	0	0	0	0	0	0	0	0	0	0	0	0	353	Ascomycota
ASV000111	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	11	16	11	0	0	0	0	0	0	0	0	0	530	9	19	Ascomycota
ASV000102	1	0	0	0	7	0	0	0	12	0	0	0	0	0	0	54	23	80	10	107	117	54	68	41	19	7	4	3	0	2	
ASV000113	0	0	4	0	3	0	21	13	10	6	8	0	0	0	0	9	11	88	35	40	32	109	41	58	22	87	7	1	3	1	Basidiomycota
ASV000119	6	8	18	0	0	0	0	0	0	0	0	0	215	192	143	0	0	0	0	0	0	0	0	0	0	0	0	11	5	5	Ascomycota
ASV000127	36	189	3	0	1	0	0	0	0	0	0	0	1	0	0	12	37	5	114	90	26	0	64	4	1	6	0	0	0	0	Mortierellomycota
ASV000125	0	0	0	199	3	0	0	0	0	41	21	13	0	0	0	0	0	0	6	8	20	0	1	5	0	96	169	0	0	0	Basidiomycota
ASV000316	29	0	0	0	0	0	0	10	420	26	0	0	0	0	0	6	0	0	5	0	8	18	10	15	23	0	0	0	0	4	Ascomycota
ASV000099	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000136	0	0	0	354	2	0	0	0	0	67	6	0	0	0	0	0	0	0	6	6	13	0	0	2	3	47	53	0	0	0	Ascomycota
ASV000249	3	4	2	0	1	0	1	366	3	0	8	0	126	19	0	0	15	4	0	0	0	0	0	6	0	0	0	1	0	0	
ASV000221	19	9	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	Mortierellomycota
ASV000123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	8	0	5	0	0	0	0	1	0	0	0	0	0	16	498	Ascomycota
ASV000233	0	0	0	0	0	0	43	0	314	0	0	28	0	0	0	0	0	0	41	0	23	0	16	0	43	14	0	14	12	0	Ascomycota
ASV000129	26	17	9	0	0	0	0	0	0	0	0	0	125	0	0	21	80	105	9	21	15	23	17	0	47	0	0	10	7	8	Ascomycota
ASV000134	0	4	7	0	0	0	46	0	0	0	0	0	6	65	252	10	33	0	0	8	9	0	0	5	7	6	0	0	0	80	Ascomycota
ASV000124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	12	2	0	58	0	0	0	0	0	14	0	5	9	414	
ASV000141	0	0	0	110	0	0	0	0	0	60	24	34	0	0	0	0	0	0	0	8	6	0	0	4	6	84	167	31	0	0	Ascomycota
ASV000138	0	0	0	0	62	9	29	0	0	0	16	0	0	37	0	0	26	6	70	34	49	35	14	65	9	23	8	39	0	0	Ascomycota
ASV000107	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000192	8	459	11	0	0	0	0	0	0	0	0	0	8	7	3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000126	30	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	25	0	10	25	9	40	13	296	6	25	13	0	0	1	Ascomycota
ASV000140	0	0	0	171	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	2	25	0	0	3	0	89	141	0	0	0	Basidiomycota
ASV000133	0	2	0	0	0	0	0	9	8	0	0	7	1	0	0	12	51	29	47	18	28	73	63	52	36	27	6	23	2	0	Ascomycota
ASV000147	11	0	7	0	0	0	0	0	0	0	0	0	177	126	157	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7	Ascomycota
ASV000135	2	3	6	1	3	0	0	0	0	6	7	5	0	0	2	24	33	58	14	115	62	27	19	24	22	17	5	2	0	33	Ascomycota
ASV000143	0	0	0	6	15	0	42	27	24	19	0	4	0	0	0	24	12	23	25	29	25	34	35	25	23	17	5	53	7	15	Ascomycota
ASV000425	1	31	5	0	0	0	0	259	7	0	15	106	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	Ascomycota
ASV000154	4	9	9	0	0	0	0	0	0	0	0	0	0	0	0	80	112	183	11	0	0	4	2	0	1	0	0	31	9	5	Basidiomycota
ASV000229	0	0	7	0	46	0	21	196	0	0	9	0	0	0	0	7	3	0	17	42	41	3	4	46	10	2	3	0	0	1	Rozellomycota
ASV000198	11	298	10	0	0	0	0	0	0	0	0	0	96	5	4	0	11	0	0	0	0	0	0	0	0	0	0	5	0	0	Basidiomycota
ASV000591	0	0	0	0	1	0	0	424	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASV000150	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	10	36	120	19	24	11	14	15	36	34	31	2	42	22	8	Ascomycota
ASV000177	0	0	4	0	0	0	50	0	0	0	0	0	72	60	173	11	0	0	0	19	0	0	3	0	0	0	0	27	2	8	Ascomycota
ASV000152	0	0	0	139	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	3	4	0	1	5	0	115	113	0	0	0	Ascomycota
ASV000163	0	0	0	143	6	0	0	0	0	37	14	9	0	0	0	0	0	0	2	9	12	0	2	10	8	54	116	0	0	0	Ascomycota
ASV000607	0	0	0	0	5	0	0	406	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Mucoromycota
ASV000173	4	2	3	0	0	0	0	6	6	0	0	0	1	50	57	11	0	0	2	9	12	49	101	7	29	6	4	0	0	58	Ascomycota
ASV000155	0	4	7	1	0	0	31	0	0	0	0	0	0	2	0	8	41	46	2	4	116	6	49	42	0	0	6	1	38	2	Ascomycota
ASV000471	31	0	0	0	5	0	0	8	0	4	349	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	Ascomycota
ASV000199	86	95	86	0	0	0	0	0	0	0	0	0	33	40	40	3	0	0	0	0	0	0	0	0	0	0	0	18	0	0	Ascomycota
ASV000178	0	0	0	118	0	22	0	0	0	56	9	11	0	0	0	0	0	0	3	8	10	0	1	2	5	72	83	0	0	0	Ascomycota
ASV000161	34	0	0	0	0	0	16	0	0	0	7	0	111	0	0	25	2	0	0	55	37	10	30	14	27	10	7	13	0	0	Ascomycota
ASV000225	0	50	0	0	0	0	0	0	0	125	0	0	96	37	79	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	Ascomycota
ASV000148	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000179	0	0	7	0	0	0	0	0	0	0	0	0	226	72	79	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	Ascomycota
ASV000158	0	10	0	0	0	9	0	0	0	0	0	0	0	0	0	17	138	38	38	27	28	7	7	20	30	4	0	0	0	20	Ascomycota
ASV000176	37	4	9	0	0	0	0	0	0	0	0	0	87	91	61	0	0	3	0	0	0	0	0	0	0	0	0	92	4	5	Basidiomycota
ASV000212	56	0	179	0	0	0	0	0	0	0	0	3	0	0	2	11	0	3	12	29	31	4	19	12	21	5	1	0	0	0	Ascomycota
ASV000157	0	0	0	0	0	0	0	0	0	0	0	5	65	0	0	0	0	0	50	17	72	0	31	67	45	21	4	0	10	0	Mortierellomycota
ASV000168	0	0	0	0	45	0	27	17	0	7	0	0	0	0	0	0	18	6	36	26	60	46	12	30	28	13	6	0	0	9	Ascomycota
ASV000182	7	0	3	0	63	3	0	0	0	0	0	0	2	97	116	0	2	0	20	0	0	18	9	13	14	0	0	0	0	15	Ascomycota
ASV000165	4	0	0	0	0	0	0	0	0	0	0	0	5	113	15	0	2	3	0	0	0	0	0	0	0	0	0	229	6	3	Ascomycota
ASV000164	0	0	0	1	0	0	0	0	4	0	9	0	0	0	0	23	14	0	13	20	33	19	43	9	96	66	0	1	2	23	Ascomycota
ASV000175	0	0	3	0	0	0	0	2	0	0	0	0	136	79	38	2	1	1	1	0	0	27	0	0	2	0	0	5	17	62	
ASV000501	0	0	0	0	110	0	0	256	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000722	0	0	0	0	0	0	1	13	243	0	0	109	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	
ASV000183	0	0	0	51	1	0	0	0	0	23	15	13	0	0	0	0	0	0	3	4	7	0	6	2	12	108	124	0	0	0	Ascomycota
ASV000186	0	0	0	7	0	0	0	0	0	58	0	0	0	0	0	9	11	7	15	9	16	29	27	16	65	50	29	5	16	0	Ascomycota
ASV000170	0	3	1	1	0	0	0	4	0	9	0	0	0	1	0	4	64	46	9	13	39	29	17	47	20	7	4	1	21	25	Ascomycota
ASV000160	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	2	3	0	0	0	0	0	0	0	0	347	1	3	Basidiomycota
ASV000167	67	5	10	0	0	32	0	0	0	0	0	0	2	0	0	18	13	45	13	29	28	1	45	23	14	2	3	1	5	6	Ascomycota
ASV000188	0	0	0	67	2	0	0	0	0	39	13	5	0	0	0	0	0	0	3	5	2	0	4	4	8	65	145	0	0	0	Ascomycota
ASV000631	0	0	0	0	3	0	0	10	0	2	342	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	Ascomycota
ASV000336	0	0	0	0	4	0	34	15	0	4	218	0	0	9	0	19	0	9	8	0	0	7	9	0	9	0	0	0	11	5	Ascomycota
ASV000195	0	231	0	0	0	0	0	0	0	0	0	0	10	0	0	11	12	0	0	0	14	0	0	15	0	0	2	55	0	9	Ascomycota
ASV000588	0	0	3	1	59	0	0	21	3	0	219	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASV000196	0	1	9	0	0	0	0	0	0	0	0	0	109	19	28	0	0	52	39	0	38	1	11	23	8	0	4	2	4	1	Ascomycota
ASV000251	0	0	0	0	1	0	20	6	0	8	0	121	1	2	0	0	0	22	0	9	0	10	12	20	1	34	0	44	29	8	Ascomycota
ASV000427	0	0	0	50	50	0	0	0	10	0	231	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
ASV000593	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	19	8	0	0	0	0	0	9	0	0	0	0	0	Ascomycota
ASV000187	29	0	8	4	0	0	0	14	0	0	0	0	3	17	0	0	1	46	1	0	103	8	13	24	33	15	17	0	2	0	Mortierellomycota
ASV000213	166	0	0	3	2	0	22	0	0	0	0	0	0	6	0	10	32	0	2	0	69	0	12	1	10	0	3	0	0	0	Ascomycota
ASV000807	0	0	0	1	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Ascomycota
ASV000156	2	0	0	0	0	0	4	0	0	0	3	0	0	1	0	57	22	16	38	19	31	35	26	0	60	5	0	0	16	0	Ascomycota
ASV000211	111	2	10	0	0	0	0	0	0	0	0	0	2	2	2	48	51	94	0	0	0	0	0	0	0	0	0	0	3	5	Ascomycota
ASV000202	0	0	0	113	0	0	0	0	0	28	14	10	0	0	0	0	0	0	3	4	3	0	1	6	2	58	86	0	0	0	Basidiomycota
ASV000174	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
