,logFC,logCPM,LR,PValue,FDR,Domain,Phylum,Class,Order,Family,Genus,Species,threshold
ASV000819,-3.96709709420554,8.02056757100283,7.0127143663077,0.00809328850550892,0.095991477605409,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Not significant
ASV000894,-2.47928196697966,7.68691974876642,4.35437234214625,0.0369140594763188,0.259280301356996,Fungi,,,,,,,Not significant
ASV002167,4.51484395993059,7.97440734714225,2.05522154544979,0.151685190184861,0.570475829624786,Fungi,,,,,,,Not significant
ASV000597,4.4934427542199,7.97093109747312,2.00279774311949,0.157009170366276,0.570475829624786,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,Not significant
ASV000672,4.4841874183332,7.96699596589385,1.91040431626844,0.16691835347441,0.576916023240698,Fungi,Ascomycota,Sordariomycetes,,,,,Not significant
ASV000687,-2.83368741251324,7.73067925838687,3.34425442711698,0.0674400243843536,0.369076918013408,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,,,Not significant
ASV000709,-2.61064739519226,7.4979206780428,2.04545836080556,0.152660997629731,0.570475829624786,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,,Not significant
ASV000733,-4.62350914961429,8.03317832152257,4.05518077058623,0.0440360038854025,0.28389878262483,Fungi,Rozellomycota,Rozellomycotina_cls_Incertae_sedis,GS11,,,,Not significant
ASV000754,-1.49434378880016,7.32389107110056,3.24411087581408,0.0716805725411353,0.382743362751183,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,,Not significant
ASV000798,-4.28438250836009,7.92566384449501,6.94437845861717,0.00840830473541725,0.097828899147029,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,,,Not significant
ASV000741,4.43140759195686,7.98538522168785,4.53751704090523,0.0331596573276677,0.243179555568242,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,,,Not significant
ASV000822,-4.44854613253504,7.9652794172807,1.76777159395219,0.183658102434685,0.592960813997302,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,Not significant
ASV000881,1.17318567789485,7.30368065300388,2.15746193641602,0.141878870889563,0.565951818641464,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_byssoides,Not significant
ASV000639,-2.6382753902779,7.43641363801715,5.32820630123867,0.0209829691960113,0.179720071223583,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis_rosea,Not significant
ASV000785,-2.27986346197959,7.45941961594913,1.70787019706237,0.191261934868375,0.609602646340777,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Lacrymaria,Lacrymaria_lacrymabunda,Not significant
ASV000808,2.98376036070987,7.56813787746043,1.15620025674783,0.282254969911612,0.764964902531152,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Stephanonectria,Stephanonectria_keithii,Not significant
ASV000818,-2.19815522135961,7.39066773325242,4.13233016448293,0.0420713826594213,0.277540671652462,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,,,Not significant
ASV000857,-3.76236419530619,7.6953353829184,6.08883462174066,0.0136038786084982,0.135813173524321,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV000866,-1.37817068147652,7.97501400190032,0.387974435047635,0.533366050804896,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Not significant
ASV001094,3.08728123897278,7.50782062075598,3.64277014078578,0.0563131646989557,0.331643620476203,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,,Not significant
ASV001139,3.11191574630661,7.52400110869083,5.36846794817014,0.0205039792377017,0.178049860523308,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Bulleromyces,Bulleromyces_albus,Not significant
ASV000636,-2.70693360001765,7.89320882596941,4.24691939205901,0.0393215976378046,0.267167102513148,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,Saitozyma_podzolica,Not significant
ASV000781,1.24577968272088,7.32441447383158,1.15436552349349,0.282637153832303,0.765391306002512,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Not significant
ASV000854,4.30932914106694,7.9002740336313,1.40086901149147,0.236578123992736,0.686540438253431,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Not significant
ASV000864,0.164999217483234,7.55925656872156,0.00635801859827012,0.93644628460943,0.942537892611029,Fungi,,,,,,,Not significant
ASV000943,4.32479333061372,7.90660407877116,1.25985371227628,0.261678782672293,0.72655348794167,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,Not significant
ASV000979,1.00023565089505,8.23988865104623,0.251418811088328,0.616077816104038,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV000719,-0.307430068916172,7.3378140924168,0.0338287107509379,0.85407164147039,0.867838766437376,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,,Not significant
ASV000752,-2.95720281544114,7.54536840302619,2.44915837215367,0.117587900674091,0.525287682276384,Fungi,Basidiomycota,Agaricomycetes,,,,,Not significant
ASV000828,3.08418032311452,7.69445120242421,0.818724053882654,0.36555348676187,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,,,,,Not significant
ASV000865,-1.95755546726613,7.93083834727737,0.576499654430568,0.447687624664915,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV000981,3.8529182533216,7.77613530293582,3.13426503158802,0.0766629335719999,0.39841316928105,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Fusariella,,Not significant
ASV001036,1.28759254623037,7.32442781558614,1.67053144492366,0.196187366922161,0.621229578607477,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,,Not significant
ASV001257,2.95447700750032,7.56570397692354,1.04233934739262,0.307278025092411,0.784042842117005,Fungi,,,,,,,Not significant
ASV000673,-2.58562206561472,7.43477334594082,1.90243704904808,0.167805789209872,0.577564111699093,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,,,Not significant
ASV000725,-4.14112871412702,7.83002386791695,3.9126273203618,0.0479246198244825,0.300465134991233,Fungi,Basidiomycota,Agaricomycetes,,,,,Not significant
ASV000806,2.91732528195024,7.51796590671808,4.70600754710584,0.0300573786806674,0.229922060739307,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,,,Not significant
ASV000821,-4.62543471371447,8.01643861291046,9.99289409892526,0.001571454353509,0.0300518574120485,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Depleted on silk
ASV000859,-4.78751223441005,8.1034005778734,7.21348875224365,0.00723577115447081,0.0887899371394091,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,,Not significant
ASV000959,4.35975403244541,7.92130556396875,1.42196769338469,0.233079801767185,0.681618251903349,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_anisopliae,Not significant
ASV001004,1.10393326790539,7.48660521911431,0.328830908866378,0.566348303525363,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,,Not significant
ASV001028,2.56770249948312,7.4685290713474,3.53842668636391,0.0599623126422479,0.347679214157114,Fungi,Ascomycota,,,,,,Not significant
ASV001299,2.38390913803952,7.39795672002935,4.02683702104892,0.0447818249283908,0.28772774722485,Fungi,,,,,,,Not significant
ASV000728,-4.75095711641241,8.08352381562559,19.3947188739757,1.06300610039332e-05,0.000623874614782563,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Ustilaginoidea,Ustilaginoidea_virens,Depleted on silk
ASV000851,4.57625379429397,8.03676493285483,6.28346172850558,0.0121869811917242,0.127644566081936,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,,,Not significant
ASV000863,-3.44862590127837,7.82568156690537,5.55234457542858,0.0184559492101222,0.164268764235585,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Conlarium,,Not significant
ASV000874,1.48704889715504,7.87508200767332,0.105629943725209,0.745175315448938,0.80068711293819,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV000892,-1.32163225661836,7.33242299585966,1.40798659697843,0.235390917317729,0.684846737221837,Fungi,,,,,,,Not significant
ASV000902,-0.642276243921147,7.36812876883651,0.360308691570587,0.548334846085016,0.784042842117005,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Gongronella,Gongronella_koreana,Not significant
ASV001176,4.53560240983689,7.91667906009318,1.37984673112474,0.240127256319494,0.693293622147209,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium_lilacinum,Not significant
ASV000693,-4.30211653784771,7.89116471464888,7.36800991555876,0.00663943713480951,0.0837060889144133,Fungi,Ascomycota,Dothideomycetes,Minutisphaerales,Minutisphaeraceae,Minutisphaera,Minutisphaera_japonica,Not significant
ASV000727,4.34992413809003,7.91301337574404,1.3092937308919,0.252522569035478,0.713530714081165,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora_communis,Not significant
ASV000745,-1.96524329126333,7.38396251580693,1.99053047117105,0.158285424984026,0.571300565230221,Fungi,Ascomycota,Sordariomycetes,,,,,Not significant
ASV000751,-4.05659440256651,7.84745377587026,9.45707811384831,0.002103358568746,0.0367170900923661,Fungi,,,,,,,Depleted on silk
ASV000827,3.15336846515589,7.54615855906687,2.28519099199129,0.130614062419214,0.547549591717984,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Coriolaceae,Trametes,Trametes_hirsuta,Not significant
ASV000835,-0.703466472473528,7.55121420813378,0.0654867091645288,0.798025189263255,0.81356027081525,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,,Not significant
ASV001073,3.45189716470967,7.57659402802655,2.30222455424679,0.129188857227097,0.544256027229007,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,,Not significant
ASV001252,4.55647535130845,7.92567423278539,1.4593397023882,0.227035210219662,0.675548824814448,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps_chlamydosporia,Not significant
ASV001319,4.46280457386602,7.92102656880883,1.43280146167066,0.23130778208076,0.679941010537917,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Irpex,Irpex_hacksungii,Not significant
ASV000746,1.24456423199548,7.4984526904845,0.441725865980951,0.506290627514168,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,,Not significant
ASV000753,-2.27485838894088,7.54895572393074,4.68461735672181,0.0304338410366104,0.230727828259737,Fungi,,,,,,,Not significant
ASV000786,-4.43579673622305,7.92293668019865,1.4418009917413,0.229848123069806,0.678580234977988,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,Not significant
ASV000836,-2.86526553259231,7.74094886842311,3.80365954923662,0.0511406945804968,0.312536668495532,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,,Not significant
ASV000839,-3.06658457242961,7.65871456393604,2.80227336326746,0.0941307541324407,0.468471524745548,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,Scedosporium_boydii,Not significant
ASV000861,-2.08219668057076,7.36034107850282,3.52757035985547,0.060356172133779,0.348201912780505,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,,Not significant
ASV000886,-4.11000010476782,7.81619290177178,7.89802994746145,0.00494886680004904,0.067654387901072,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,,Not significant
ASV001068,-0.524570920694122,7.58688975312727,0.0341351046948049,0.853419730310321,0.86743528276391,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Mycoarthris,Mycoarthris_corallina,Not significant
ASV001344,3.44174542717685,7.59217253367304,2.36073037867204,0.124423922296975,0.534181218564173,Fungi,,,,,,,Not significant
ASV001461,3.31835940637049,7.5618230216063,2.2689474980192,0.13198951311481,0.552222215761822,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_hyalina,Not significant
ASV000748,-1.15355629568821,7.29756027282053,2.55181959239309,0.110167310818306,0.513008927531483,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Not significant
ASV000758,4.12801459804435,7.84372906059893,1.11397479936852,0.291219544613528,0.778109364100823,Fungi,,,,,,,Not significant
ASV000768,4.42242222362471,7.94852732226568,1.84424809383047,0.174453859775005,0.583857203280113,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_alpina,Not significant
ASV000823,-3.08581134099287,7.52138036851736,2.05582119996093,0.151625486741142,0.570475829624786,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,,,Not significant
ASV000868,-4.39982518068399,7.93973584674794,6.27544376355977,0.0122422459007551,0.127808980787357,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,,,Not significant
ASV000904,-4.66805013889422,8.04341498670983,5.13889487059931,0.0233955365930454,0.190979392236754,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Coniosporium,,Not significant
ASV000930,-1.78866641385567,7.60770869290194,0.223038413790591,0.636734488170623,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Nigrograna,,Not significant
ASV000777,-4.32313339059213,7.94495597931982,9.99385145178356,0.00157063759674595,0.0300518574120485,Fungi,,,,,,,Depleted on silk
ASV000804,-4.32439720944468,7.90291038100365,1.56193121499687,0.211382677167636,0.650777706741131,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,Not significant
ASV000837,-4.18450809323658,7.817156148014,5.90898237211654,0.0150638713616767,0.142834033746929,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,,,Not significant
ASV000956,-3.98152882912204,7.83925125279385,4.6086823109962,0.0318104674490055,0.236942737847735,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV001052,2.17976121942476,7.40421271800593,2.393911702399,0.12180849310556,0.529548033884195,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV001185,1.78122983752797,7.35919588846843,2.00463182876494,0.156819364063115,0.570475829624786,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,,,Not significant
ASV001283,4.64617368347444,7.9804323909834,4.11723919103821,0.0424482971016935,0.279485499679236,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,,Not significant
ASV000787,-4.1213184607313,7.91520010453857,3.10220562586814,0.0781862985181583,0.405093090039286,Fungi,Ascomycota,Eurotiomycetes,,,,,Not significant
ASV000884,-1.50047170833964,7.49355749276779,1.33799867809067,0.247387213924715,0.705872653981333,Fungi,Basidiomycota,Agaricomycetes,,,,,Not significant
ASV000913,-2.79344082386571,7.46361840876181,2.04604885941826,0.152601777066098,0.570475829624786,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,,,Not significant
ASV000995,-3.25876714776239,7.72706427447531,1.57102800339678,0.210057785495166,0.648265368835489,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Fibulochlamys,Fibulochlamys_chilensis,Not significant
ASV001042,4.07095100445081,7.82331041845926,0.919541890060717,0.337595285727358,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,,Not significant
ASV000850,2.66371557668136,7.5600365222191,0.738871451349489,0.390022632464598,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,,Not significant
ASV000855,-4.41245030790843,7.94327893671177,6.34018065392247,0.011803285943979,0.125557454229076,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV000960,1.07702693437083,7.37653739091298,0.666961805501229,0.414112869488214,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Ophioceras,,Not significant
ASV000970,-2.78068597943441,7.49986773175114,4.26056241263796,0.0390070051409737,0.266091874749247,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Not significant
ASV001060,4.12250069311328,7.95463976880382,3.05093655017686,0.0806905996125275,0.414918059414758,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,Cephalotrichum_asperulum,Not significant
ASV001118,-2.96004160075287,7.5428781607568,4.19730384787023,0.0404883034632585,0.271838629169491,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps_chlamydosporia,Not significant
ASV001483,4.49835495172026,7.93692744046151,1.55148718550043,0.212916026258309,0.652354773522309,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,,Not significant
ASV000824,-4.43107541645544,7.95083979794476,4.69794897936379,0.0301986345395198,0.230484645678308,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,,Not significant
ASV000826,-4.6614896661771,8.14749085547748,3.95436272118308,0.0467500166357061,0.296666561665131,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_flanaganii,Not significant
ASV000919,-4.3880744420434,7.92491120587964,6.42443937116275,0.0112560438475852,0.121425079565799,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,,,Not significant
ASV000920,-4.90053466196005,8.14679125898855,7.83977337350396,0.00511090136287688,0.0694373227283414,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,Not significant
ASV000957,2.29299453857535,7.42165010477004,5.25073093510269,0.0219375539574403,0.183039841873207,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideales_fam_Incertae_sedis,Hortaea,Hortaea_werneckii,Not significant
ASV000982,-2.3045837425735,7.86899825254369,1.58493563158188,0.208051185622631,0.644829614955954,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,,,Not significant
ASV001244,4.54069098892741,7.91989093840183,1.41002920293129,0.235051545447904,0.684444363305959,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps_chlamydosporia,Not significant
ASV001508,4.53030569377908,7.91542555186401,1.34063630087121,0.24692178645244,0.705135705607472,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,,Not significant
ASV000775,4.46078800130214,7.96173890981277,1.79171397227293,0.180717471895184,0.587138606735692,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,Not significant
ASV000831,-4.98200804745512,8.16601332016921,5.57858219538644,0.0181814359330144,0.162867389252581,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,Tetracladium_marchalianum,Not significant
ASV000840,-4.36020748580322,7.9065387698351,17.9228384111008,2.3004396548354e-05,0.00113488356305213,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Sarcopodium,Sarcopodium_circinosetiferum,Depleted on silk
ASV000841,-4.79812720923212,8.08863584671472,8.69518192638728,0.00319052271705919,0.049577430592853,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Depleted on silk
ASV000862,-4.74298732980809,8.06480336776017,10.4701209727993,0.0012132077381589,0.0245706107146861,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,Depleted on silk
ASV000877,-3.12605877502576,7.53683996901238,2.13623973554421,0.143854120921529,0.567415327481907,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,,Not significant
ASV000932,-2.63975451268268,7.71263183455363,3.77848670648969,0.0519155936780757,0.315010126346113,Fungi,Rozellomycota,Rozellomycotina_cls_Incertae_sedis,GS10,,,,Not significant
ASV000942,-1.12648671367386,7.28753746425146,2.48086969834477,0.115238515291375,0.519288270667728,Fungi,,,,,,,Not significant
ASV000961,4.51730907463544,7.95694255048388,2.02066090601243,0.155171590907645,0.570475829624786,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,,Not significant
ASV000975,-3.97897192438706,7.89165723335611,4.28514814247278,0.0384467319934093,0.264924444748108,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,,Not significant
ASV001046,3.07995090695803,7.69815476353433,0.781937991959848,0.376549087556501,0.784042842117005,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Not significant
ASV001076,-2.10053034035681,7.90066941138981,1.22825362165284,0.267746936084114,0.738582309911121,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,,,Not significant
ASV001146,-4.13738820492125,7.84463647514407,0.979499134378444,0.322322493101344,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,,Not significant
ASV000760,-3.0101445348279,7.75071335238975,0.590075001097264,0.44239011772521,0.784042842117005,Fungi,Ascomycota,,,,,,Not significant
ASV000829,-5.06443514796592,8.20463692709461,4.36560251192413,0.0366715127310056,0.258983048415649,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia_pullulans,Not significant
ASV000908,-4.5086857002915,7.95811244461253,10.0740636672765,0.00150371018605986,0.0290831220076578,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,Depleted on silk
ASV000946,-4.5600744949104,8.05602023593239,5.82796871779791,0.0157733262113247,0.147102472392737,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Idriella,Idriella_lunata,Not significant
ASV000955,-4.26997019659981,7.88123997512208,6.41069965013978,0.0113434710052656,0.121425079565799,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,Not significant
ASV000992,-2.11869366728014,7.4113006701164,2.25021074980583,0.133596206717089,0.553911678032852,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Not significant
ASV001101,-3.54998004987445,7.63658843399959,4.49053356298438,0.0340830384136077,0.247374547462517,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,Chytridiales_fam_Incertae_sedis,,,Not significant
ASV001138,1.74329957178377,7.36542438072145,1.56446875478916,0.211012106368161,0.650620661301828,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,Not significant
ASV001177,-3.25633744728675,7.59464161274553,5.91445643050307,0.0150171356112113,0.142788630225037,Fungi,Ascomycota,,,,,,Not significant
ASV001189,-4.10682698843727,7.8332693147099,1.31643023784879,0.251233717635556,0.711480511507015,Fungi,,,,,,,Not significant
ASV001600,3.99968061134949,7.77017774875983,5.91902755494164,0.0149782232370217,0.142788630225037,Fungi,,,,,,,Not significant
ASV000838,2.77243385177425,7.45569276702333,2.03684588514799,0.15352770150984,0.570475829624786,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,Not significant
ASV000848,-2.64658105529959,7.47659717923661,3.87046568325063,0.0491428843585689,0.305582410577468,Fungi,Ascomycota,,,,,,Not significant
ASV000890,-4.3493067882247,7.88926815023087,6.19862588120821,0.0127849532751614,0.130299344157633,Fungi,,,,,,,Not significant
ASV000893,-4.31961579750678,7.87776923399021,9.68245411434677,0.00186035980094251,0.0338645174460337,Fungi,Basidiomycota,Agaricomycetes,,,,,Depleted on silk
ASV000939,-0.936493686112606,7.6361826496783,0.171288286257054,0.67896939579997,0.784042842117005,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_alpina,Not significant
ASV000987,-0.984222755657344,7.29087493235608,1.74496005315208,0.186511580437616,0.59838399605056,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,,,Not significant
ASV001097,-2.26334843841145,7.55612378633224,0.947431484068841,0.330373953779923,0.784042842117005,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudaleuria,,Not significant
ASV001163,4.30227250911153,7.9019813580779,1.2123235891731,0.270872428775569,0.744789779928949,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_anisopliae,Not significant
ASV001303,4.48444905595207,7.9711006785857,2.00910466232842,0.156357570665926,0.570475829624786,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,,,Not significant
ASV002355,4.39901472573892,7.9306185034558,1.48154635827922,0.223532736859469,0.669222019586309,Fungi,,,,,,,Not significant
ASV002423,3.91680369630898,7.74193437822172,2.51259211225449,0.112940025456832,0.518632981032107,Fungi,,,,,,,Not significant
ASV002545,3.07396079726089,7.51288190783801,2.187633937835,0.139122883422898,0.56512445724528,Fungi,Basidiomycota,,,,,,Not significant
ASV000801,-3.23970362405137,7.60636917606174,4.44670099573561,0.0349687378491789,0.251125703878914,Fungi,Basidiomycota,Cystobasidiomycetes,,,,,Not significant
ASV001014,-2.2783857095819,7.56721835201794,0.439331523791986,0.507445276920266,0.784042842117005,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,Not significant
ASV001033,-3.90015801724125,7.82373592851871,10.4931777039548,0.00119816126608669,0.024422400896761,Fungi,Rozellomycota,Rozellomycotina_cls_Incertae_sedis,GS05,,,,Depleted on silk
ASV001045,3.88699078724434,7.76016703001484,0.976349499808624,0.323101720692467,0.784042842117005,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,,Not significant
ASV001106,5.02015086795539,8.20064580337224,6.0180443867168,0.014160329248606,0.139715248586246,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,,Not significant
ASV001150,0.968599952381292,7.30631920085534,1.43670569597846,0.230673175216473,0.678661614897902,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,,Not significant
ASV001564,2.98618999775214,7.49473067062945,2.76926515880898,0.0960902649245344,0.474733326274478,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,,Not significant
ASV002281,3.06023400359771,7.51585670376174,4.40289661194597,0.0358779431506105,0.2549478054018,Fungi,,,,,,,Not significant
ASV000803,4.37497507143992,7.92712032421358,1.90635363385745,0.167368866064582,0.576916023240698,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,,,Not significant
ASV000832,-2.01632753935517,7.41346517081007,1.46098993293805,0.226772677744223,0.675358000911055,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Not significant
ASV000858,-4.27769217077731,7.88981814045296,4.56822625657995,0.0325702719898325,0.241528327495742,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_chienii,Not significant
ASV000869,-0.342214564848723,7.33981102006494,0.0470189332084345,0.828334210399787,0.842944589596674,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Veronaea,Veronaea_compacta,Not significant
ASV000885,-2.85397079065872,7.48277526258752,2.1999056821179,0.138019182259036,0.563234924418766,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,,Not significant
