,logFC,logCPM,LR,PValue,FDR,Domain,Phylum,Class,Order,Family,Genus,Species,threshold
ASV002543,-2.97180477928742,7.50488326530868,0.638037214861369,0.424422445025801,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,,,Not significant
ASV002544,-2.99835953819499,7.50971663466951,0.633352857957273,0.4261281242426,0.784042842117005,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_zychae,Not significant
ASV002616,-2.4386153659154,7.41892153870895,0.521454887666462,0.470221727344307,0.784042842117005,Fungi,,,,,,,Not significant
ASV002714,-2.9983554521523,7.50971663466951,0.637019487093289,0.42479214929882,0.784042842117005,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,,Not significant
ASV002781,3.28588145115739,7.56551354622585,0.776936446543721,0.378079723942963,0.784042842117005,Fungi,Ascomycota,,,,,,Not significant
ASV002921,4.02108549695892,7.7400109957071,0.991820059415708,0.31929794258438,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps_chlamydosporia,Not significant
ASV003544,2.8221060203383,7.47849042384232,0.605830331919392,0.436362097242082,0.784042842117005,Fungi,,,,,,,Not significant
ASV003582,2.71231881456483,7.45676765365313,2.08730765909804,0.148527624384302,0.569810314839043,Fungi,,,,,,,Not significant
ASV003730,2.4128081236596,7.4151298103465,0.532545961758561,0.465538446722507,0.784042842117005,Fungi,,,,,,,Not significant
ASV003794,2.82209472297036,7.47849042384232,0.601266677281124,0.438095139041461,0.784042842117005,Fungi,,,,,,,Not significant
ASV003801,2.24615122191419,7.38952545999569,1.96380037071237,0.161107458192968,0.575589062630088,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,Not significant
ASV003922,2.10317974864728,7.37469929571518,0.521992115576242,0.46999313713031,0.784042842117005,Fungi,Ascomycota,Leotiomycetes,,,,,Not significant
ASV001570,-2.54389772092762,7.43278826678121,0.531630167050381,0.465922308650327,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV001653,-2.64619276093289,7.44268574137899,3.30202989186864,0.0691943267287465,0.373442154259098,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia_difficilevidera,Not significant
ASV001750,-2.18618441668733,7.38421885720798,0.496271360055677,0.481143051868824,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV001759,-2.32765949533219,7.40244714567651,0.510482676222038,0.474929983869901,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,,,Not significant
ASV001784,-2.18618441668733,7.38421885720798,0.496271360055677,0.481143051868824,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,Scedosporium_boydii,Not significant
ASV001834,-1.28256051101662,7.30049230972517,2.81107343680575,0.0936157155355722,0.467941109666796,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,,,Not significant
ASV001835,-2.59019344475606,7.43950979011192,1.01065227618948,0.314746624536308,0.784042842117005,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,Not significant
ASV001869,-1.04611844985162,7.26329020888145,2.62042522502713,0.105496166702245,0.502330555692926,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora_cupiformis,Not significant
ASV001871,1.17147307192212,7.38940155388884,0.157068603000157,0.691869848965892,0.784042842117005,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,,Not significant
ASV001900,-3.5589362500794,7.62014608973568,0.869737071867202,0.35102810853631,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_spinosum,Not significant
ASV001917,-3.13271930671005,7.53190348939234,0.677438034972647,0.410470325941874,0.784042842117005,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,,Not significant
ASV001920,2.12854583130696,7.37698290058171,0.519017222267219,0.471261208304933,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,,,Not significant
ASV001953,2.56987746357281,7.43650374807997,0.547772501183632,0.459229279960684,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Zopfiella,,Not significant
