OTU	Total_tags	i_Si_2w_1_tags	i_Si_2w_2_tags	i_Si_2w_3_tags	i_Si_4w_1_tags	i_Si_4w_2_tags	i_Si_4w_3_tags	i_Si_6w_1_tags	i_Si_6w_2_tags	i_Si_6w_3_tags	i_Si_8w_1_tags	i_Si_8w_2_tags	i_Si_8w_3_tags	o_Si_1_tags	o_Si_2_tags	o_Si_3_tags	i_So_2w_1_tags	i_So_2w_2_tags	i_So_2w_3_tags	i_So_4w_1_tags	i_So_4w_2_tags	i_So_4w_3_tags	i_So_6w_1_tags	i_So_6w_2_tags	i_So_6w_3_tags	i_So_8w_1_tags	i_So_8w_2_tags	i_So_8w_3_tags	o_So_1_tags	o_So_2_tags	o_So_3_tags	i_Si_2w_1_relative_abundance	i_Si_2w_2_relative_abundance	i_Si_2w_3_relative_abundance	i_Si_4w_1_relative_abundance	i_Si_4w_2_relative_abundance	i_Si_4w_3_relative_abundance	i_Si_6w_1_relative_abundance	i_Si_6w_2_relative_abundance	i_Si_6w_3_relative_abundance	i_Si_8w_1_relative_abundance	i_Si_8w_2_relative_abundance	i_Si_8w_3_relative_abundance	o_Si_1_relative_abundance	o_Si_2_relative_abundance	o_Si_3_relative_abundance	i_So_2w_1_relative_abundance	i_So_2w_2_relative_abundance	i_So_2w_3_relative_abundance	i_So_4w_1_relative_abundance	i_So_4w_2_relative_abundance	i_So_4w_3_relative_abundance	i_So_6w_1_relative_abundance	i_So_6w_2_relative_abundance	i_So_6w_3_relative_abundance	i_So_8w_1_relative_abundance	i_So_8w_2_relative_abundance	i_So_8w_3_relative_abundance	o_So_1_relative_abundance	o_So_2_relative_abundance	o_So_3_relative_abundance	Domain	Phylum	Class	Order	Family	Genus	Species
ASV000373	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	15	0	0	22	6	17	20	9	25	4	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160927	0.120695	0	0	0.17702	0.048278	0.136788	0.160927	0.072417	0.201159	0.032185	0	0	0	0.072417	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella	
ASV000384	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	3	0	0	0	0	5	5	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096556	0	0.008046	0	0	0	0	0	0.024139	0	0	0	0	0.040232	0.040232	0.973608	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Stephanosporaceae		
ASV000432	146	0	0	0	125	0	0	0	0	0	17	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1.005793	0	0	0	0	0	0.136788	0	0	0	0	0	0	0	0	0.008046	0.008046	0.016093	0	0	0	0	0	0	0	0	0	Fungi	Basidiomycota					
ASV000713	146	0	0	0	1	118	0	0	9	0	0	11	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0.949469	0	0	0.072417	0	0	0.08851	0	0	0	0	0	0	0	0.016093	0	0.040232	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Arthroderma	Arthroderma_curreyi
ASV000350	145	3	0	0	0	0	0	0	0	0	0	0	0	73	66	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.024139	0	0	0	0	0	0	0	0	0	0	0	0.587383	0.531059	0.016093	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	Fungi	Ascomycota					
ASV000434	144	1	3	6	0	0	0	0	0	0	0	0	0	127	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0.008046	0.024139	0.048278	0	0	0	0	0	0	0	0	0	1.021886	0.008046	0.016093	0	0	0	0	0	0	0	0	0	0	0	0	0.032185	0	0	Fungi	Basidiomycota					
ASV001221	144	0	0	0	0	0	0	0	138	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.110396	0	0	0.032185	0	0	0	0	0	0	0	0	0	0	0	0.008046	0.008046	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae		
ASV000331	143	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	4	4	3	53	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104603	0	0	0	0	0	0	0	0	0	0	0	0.032185	0.032185	0.024139	0.426456	0.531059	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
ASV001306	143	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.150628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi						
ASV000360	141	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.134535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Zopfiella	
ASV001365	141	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.134535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi						
ASV000364	140	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	38	1	7	3	16	12	9	6	3	0	0	1	0	0	0	0	0	0	0	0.354039	0	0	0	0	0	0	0	0	0	0	0.305761	0.008046	0.056324	0.024139	0.128742	0.096556	0.072417	0.048278	0.024139	0	0	0.008046	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Roussoella	
ASV000411	140	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	14	11	34	8	0	19	1	0	15	28	1	0	2	1	1	0	0	0.040232	0	0	0	0	0	0	0	0	0	0	0	0	0.112649	0.08851	0.273576	0.064371	0	0.152881	0.008046	0	0.120695	0.225298	0.008046	0	0.016093	0.008046	0.008046	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000424	140	3	0	0	0	0	0	0	0	0	0	0	0	1	124	5	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0.024139	0	0	0	0	0	0	0	0	0	0	0	0.008046	0.997747	0.040232	0	0	0	0	0	0	0	0	0	0	0	0	0.040232	0.016093	0	Fungi	Ascomycota	Sordariomycetes	Diaporthales			
ASV000359	139	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	72	5	0	3	56	0	1	1	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	0	0.579337	0.040232	0	0.024139	0.450595	0	0.008046	0.008046	0	0	0	0	Fungi	Ascomycota					
ASV000422	139	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	35	21	10	33	2	27	3	1	0	0	0	0	0	0	0	0.024139	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032185	0.281622	0.168973	0.080463	0.265529	0.016093	0.217251	0.024139	0.008046	0	0	0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_exigua
ASV000423	139	0	28	5	0	0	0	0	0	0	0	0	0	1	74	1	0	0	0	0	0	0	0	0	0	0	0	0	19	3	8	0	0.225298	0.040232	0	0	0	0	0	0	0	0	0	0.008046	0.59543	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	0.152881	0.024139	0.064371	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV001075	139	0	0	0	0	26	0	0	0	3	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209205	0	0	0	0.024139	0	0	0.885098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi						
ASV001228	139	0	0	0	0	0	0	0	130	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.046025	0	0	0.072417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana
ASV001230	139	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	1.046025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032185	0.040232	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
ASV001276	139	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.118442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Mucoromycota	Endogonomycetes	Endogonales			
ASV001320	139	0	0	0	0	2	0	0	126	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016093	0	0	1.01384	0.08851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi						
ASV000386	138	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.110396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota					
ASV000400	138	3	2	2	0	0	0	0	0	0	0	0	0	3	51	0	1	1	0	0	0	0	0	0	0	0	0	0	72	3	0	0.024139	0.016093	0.016093	0	0	0	0	0	0	0	0	0	0.024139	0.410364	0	0.008046	0.008046	0	0	0	0	0	0	0	0	0	0	0.579337	0.024139	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Cyclocybe	Cyclocybe_erebioides
ASV000455	138	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	2	1	95	10	13	0	1	0	0	0	2	0	0	0	0	0	0	0.096556	0.016093	0	0	0	0	0	0	0	0	0	0	0	0.016093	0.008046	0.764403	0.080463	0.104603	0	0.008046	0	0	0	0.016093	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae		
ASV000515	138	0	0	0	0	4	0	0	46	0	0	0	0	0	0	0	0	0	0	4	13	11	0	0	12	0	0	0	48	0	0	0	0	0	0	0.032185	0	0	0.370132	0	0	0	0	0	0	0	0	0	0	0.032185	0.104603	0.08851	0	0	0.096556	0	0	0	0.386225	0	0	Fungi	Ascomycota					
ASV000383	137	0	0	0	0	0	0	0	0	0	6	9	3	0	0	0	0	0	0	0	1	1	0	1	2	0	44	70	0	0	0	0	0	0	0	0	0	0	0	0	0.048278	0.072417	0.024139	0	0	0	0	0	0	0	0.008046	0.008046	0	0.008046	0.016093	0	0.354039	0.563244	0	0	0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Conlarium	
ASV000413	137	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	12	0	0	6	0	0	21	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040232	0	0	0.008046	0.096556	0	0	0.048278	0	0	0.168973	0	0	0	0	0.740264	0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV000397	136	0	0	18	3	0	0	0	0	0	0	0	0	6	0	0	0	0	50	0	0	48	0	0	0	0	0	11	0	0	0	0	0	0.144834	0.024139	0	0	0	0	0	0	0	0	0.048278	0	0	0	0	0.402317	0	0	0.386225	0	0	0	0	0	0.08851	0	0	0	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000532	136	46	0	3	0	0	0	0	0	0	0	0	0	0	0	2	13	0	36	0	5	0	0	6	0	0	6	0	2	0	17	0.370132	0	0.024139	0	0	0	0	0	0	0	0	0	0	0	0.016093	0.104603	0	0.289668	0	0.040232	0	0	0.048278	0	0	0.048278	0	0.016093	0	0.136788	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria_anthuriicola
ASV000388	135	0	0	0	0	0	0	0	8	0	2	0	0	1	0	0	0	2	6	0	16	21	9	0	38	0	0	5	26	1	0	0	0	0	0	0	0	0	0.064371	0	0.016093	0	0	0.008046	0	0	0	0.016093	0.048278	0	0.128742	0.168973	0.072417	0	0.305761	0	0	0.040232	0.209205	0.008046	0	Fungi	Basidiomycota	Agaricomycetes				
ASV000402	135	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	72	4	0	0	7	7	2	0	0	0	0	0	3	14	0	0.016093	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193112	0.579337	0.032185	0	0	0.056324	0.056324	0.016093	0	0	0	0	0	0.024139	0.112649	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
ASV000426	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	0	23	1	16	6	0	0	0	0	45	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0.3299	0	0.185066	0.008046	0.128742	0.048278	0	0	0	0	0.362086	0	0.008046	Fungi						
ASV000520	134	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	69	19	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.225298	0	0	0	0	0	0	0	0	0	0	0	0	0.555198	0.152881	0.136788	0	0.008046	0	0	0	0	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pseudaleuria	
ASV000399	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	21	0	0	0	0	11	0	0	10	0	0	12	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096556	0	0.168973	0	0	0	0	0.08851	0	0	0.080463	0	0	0.096556	0.539105	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
ASV000390	132	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	33	0	16	0	0	0	0	0	0	0	0	0	0	0	0.281622	0	0	0	0	0	0	0	0	0	0	0	0	0	0.386225	0	0.265529	0	0.128742	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
ASV000406	132	0	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	0	12	19	0	0	1	9	0	0	8	0	0	0	47	0	0	0	0	0	0	0.281622	0	0	0	0	0	0	0	0.008046	0	0	0.096556	0.152881	0	0	0.008046	0.072417	0	0	0.064371	0	0	0	0.378178	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_brevicompactum
ASV000410	132	0	5	0	1	0	0	0	0	0	0	0	0	0	26	0	0	30	0	26	8	0	0	4	9	3	1	0	12	7	0	0	0.040232	0	0.008046	0	0	0	0	0	0	0	0	0	0.209205	0	0	0.24139	0	0.209205	0.064371	0	0	0.032185	0.072417	0.024139	0.008046	0	0.096556	0.056324	0	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	
ASV000416	132	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	8	13	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.812681	0	0	0	0	0	0	0.064371	0.104603	0	0	0.080463	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
ASV000504	132	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	91	0	0	0	0	0	0	0	0	0	0	0	2	32	0	0.032185	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0.016093	0.732218	0	0	0	0	0	0	0	0	0	0	0	0.016093	0.257483	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000392	130	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	39	0	9	35	5	5	7	6	6	3	0	0	0	0	0	0.024139	0	0	0	0	0	0	0	0	0	0	0	0	0.096556	0	0.313808	0	0.072417	0.281622	0.040232	0.040232	0.056324	0.048278	0.048278	0.024139	0	0	0	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS11			
ASV000393	130	0	0	0	50	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	1	2	0	1	2	0	11	47	0	0	0	0	0	0	0.402317	0	0	0	0	0	0.096556	0.032185	0	0	0	0	0	0	0	0	0.008046	0.016093	0	0.008046	0.016093	0	0.08851	0.378178	0	0	0	Fungi						
ASV000403	130	0	0	0	85	0	0	0	0	0	11	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	15	11	0	0	0	0	0	0	0.683939	0	0	0	0	0	0.08851	0	0	0	0	0	0	0	0	0.032185	0.024139	0.008046	0	0	0	0	0.120695	0.08851	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV001040	130	0	0	0	0	2	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0.016093	0	0	0.973608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056324	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000370	129	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	1	3	0	0	2	2	40	71	0	0	0	0	0	0	0	0	0	0	0	0	0.064371	0	0.016093	0	0	0	0	0	0	0	0.008046	0.024139	0	0	0.016093	0.016093	0.321854	0.571291	0	0	0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	
ASV000357	128	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	1	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064371	0	0.008046	0.008046	0	0	0	0	0	0	0	0	0	0	0	0.949469	0	Fungi	Ascomycota	Sordariomycetes	Xylariales			
ASV000394	128	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	18	0	0	0	0	0	0	0	0	0	0	2	25	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016093	0	0	0.144834	0	0	0	0	0	0	0	0	0	0	0.016093	0.201159	0.651754	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV000421	128	0	1	0	0	0	0	0	0	0	0	0	0	47	0	0	0	31	0	1	7	0	20	1	10	5	0	0	4	1	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0.378178	0	0	0	0.249437	0	0.008046	0.056324	0	0.160927	0.008046	0.080463	0.040232	0	0	0.032185	0.008046	0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora_iriomotensis
ASV000514	128	3	0	2	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.024139	0	0.016093	0	0	0	0	0	0	0	0	0	0	0	0.973608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016093	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	Ochroconis_cordanae
ASV001243	128	0	0	0	0	0	0	0	6	0	0	119	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.048278	0	0	0.957515	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0.016093	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	
ASV000407	127	0	0	0	0	0	0	0	0	0	0	0	0	1	60	0	0	0	0	1	0	6	1	3	0	31	7	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0.482781	0	0	0	0	0.008046	0	0.048278	0.008046	0.024139	0	0.249437	0.056324	0	0	0	0.136788	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae		
ASV000428	127	0	7	0	0	0	0	0	0	0	0	0	0	37	59	13	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0.056324	0	0	0	0	0	0	0	0	0	0	0.297715	0.474734	0.104603	0	0	0	0	0	0	0	0	0	0	0	0	0.080463	0.008046	0	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000429	127	0	0	0	0	0	0	65	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	13	15	15	6	0	0	0	0	0	0	0	0	0	0	0.523013	0	0	0	0	0	0	0.056324	0	0.048278	0	0	0	0	0	0	0.104603	0.120695	0.120695	0.048278	0	0	0	0	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_creatinivorum
ASV000443	127	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.021886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000457	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	29	24	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547152	0.233344	0.193112	0	0	0	0	0	0	0.032185	0	0.008046	0.008046	0	Fungi	Ascomycota					
ASV001219	127	0	0	0	3	0	0	2	30	14	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024139	0	0	0.016093	0.24139	0.112649	0	0	0.627615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi						
ASV000415	126	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	38	33	12	7	0	5	0	3	0	0	0	0	0	0	25	0	0.016093	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0.305761	0.265529	0.096556	0.056324	0	0.040232	0	0.024139	0	0	0	0	0	0	0.201159	Fungi	Basidiomycota	Agaricomycetes				
ASV000482	126	0	0	0	0	0	0	0	0	0	0	0	0	1	82	19	0	0	0	0	0	0	0	0	0	0	0	0	21	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0.6598	0.152881	0	0	0	0	0	0	0	0	0	0	0	0	0.168973	0.016093	0.008046	Fungi	Ascomycota					
ASV000797	126	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	20	0	0	0	4	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0.74831	0	0	0	0	0	0	0.160927	0	0	0	0.032185	0.016093	0	0	0	0	0	0.056324	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium	Arthrinium_phaeospermum
ASV000382	125	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	12	16	18	0	0	2	0	3	0	0	0	69	0	0	0	0.008046	0.024139	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0.096556	0.128742	0.144834	0	0	0.016093	0	0.024139	0	0	0	0.555198	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000419	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	2	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016093	0	0.016093	0	0	0	0	0	0	0	0	0	0	0.008046	0.016093	0.949469	Fungi	Ascomycota					
ASV000438	123	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	20	7	0	15	11	13	15	9	0	0	11	3	0	0	13	0	0	0	0.024139	0	0	0	0	0	0	0	0.024139	0	0	0	0.160927	0.056324	0	0.120695	0.08851	0.104603	0.120695	0.072417	0	0	0.08851	0.024139	0	0	0.104603	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000503	123	0	0	0	0	0	0	0	0	2	0	15	17	0	0	0	0	0	0	0	0	0	0	0	0	8	34	47	0	0	0	0	0	0	0	0	0	0	0	0.016093	0	0.120695	0.136788	0	0	0	0	0	0	0	0	0	0	0	0	0.064371	0.273576	0.378178	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Clohesyomyces	Clohesyomyces_aquaticus
ASV001542	123	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.981654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum
ASV000372	122	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	103	2	0	3	0	0	3	0	0	0	0	0	0	0	0.016093	0.032185	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040232	0.828774	0.016093	0	0.024139	0	0	0.024139	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes				
ASV000475	122	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	45	0	9	0	5	17	10	1	19	2	1	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0.096556	0	0	0.362086	0	0.072417	0	0.040232	0.136788	0.080463	0.008046	0.152881	0.016093	0.008046	0	0	0	Fungi	Ascomycota					
ASV000563	122	0	0	0	59	0	0	0	0	0	17	0	0	0	0	0	0	0	0	4	3	1	0	0	2	0	19	17	0	0	0	0	0	0	0.474734	0	0	0	0	0	0.136788	0	0	0	0	0	0	0	0	0.032185	0.024139	0.008046	0	0	0.016093	0	0.152881	0.136788	0	0	0	Fungi	Ascomycota	Sordariomycetes				
ASV000440	120	33	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	19	0	6	10	11	16	3	1	0	0	0	0.265529	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048278	0.112649	0.152881	0	0.048278	0.080463	0.08851	0.128742	0.024139	0.008046	0	0	0	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiales_fam_Incertae_sedis		
ASV000444	119	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016093	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0.933376	0	0	0	0	0	0	0	0	0	0	0	0	Fungi						
ASV000469	119	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	29	1	0	36	31	15	0	1	0	0	0	0	0	0	0	0.024139	0	0	0	0	0.024139	0	0	0	0	0	0	0	0	0	0.233344	0.008046	0	0.289668	0.249437	0.120695	0	0.008046	0	0	0	0	0	Fungi	Ascomycota	Pezizomycetes	Pezizales			
ASV001327	119	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92533	0	0	0	0	0	0	0	0	0	0.016093	0	0	0	0.016093	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae		
ASV001623	119	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.957515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis		
