OTU	Total_tags	i_Si_2w_1_tags	i_Si_2w_2_tags	i_Si_2w_3_tags	i_Si_4w_1_tags	i_Si_4w_2_tags	i_Si_4w_3_tags	i_Si_6w_1_tags	i_Si_6w_2_tags	i_Si_6w_3_tags	i_Si_8w_1_tags	i_Si_8w_2_tags	i_Si_8w_3_tags	o_Si_1_tags	o_Si_2_tags	o_Si_3_tags	i_So_2w_1_tags	i_So_2w_2_tags	i_So_2w_3_tags	i_So_4w_1_tags	i_So_4w_2_tags	i_So_4w_3_tags	i_So_6w_1_tags	i_So_6w_2_tags	i_So_6w_3_tags	i_So_8w_1_tags	i_So_8w_2_tags	i_So_8w_3_tags	o_So_1_tags	o_So_2_tags	o_So_3_tags	i_Si_2w_1_relative_abundance	i_Si_2w_2_relative_abundance	i_Si_2w_3_relative_abundance	i_Si_4w_1_relative_abundance	i_Si_4w_2_relative_abundance	i_Si_4w_3_relative_abundance	i_Si_6w_1_relative_abundance	i_Si_6w_2_relative_abundance	i_Si_6w_3_relative_abundance	i_Si_8w_1_relative_abundance	i_Si_8w_2_relative_abundance	i_Si_8w_3_relative_abundance	o_Si_1_relative_abundance	o_Si_2_relative_abundance	o_Si_3_relative_abundance	i_So_2w_1_relative_abundance	i_So_2w_2_relative_abundance	i_So_2w_3_relative_abundance	i_So_4w_1_relative_abundance	i_So_4w_2_relative_abundance	i_So_4w_3_relative_abundance	i_So_6w_1_relative_abundance	i_So_6w_2_relative_abundance	i_So_6w_3_relative_abundance	i_So_8w_1_relative_abundance	i_So_8w_2_relative_abundance	i_So_8w_3_relative_abundance	o_So_1_relative_abundance	o_So_2_relative_abundance	o_So_3_relative_abundance	Domain	Phylum	Class	Order	Family	Genus	Species
ASV000013	5486	92	22	20	0	16	0	87	49	51	107	73	60	8	6	4	147	256	244	319	208	282	317	319	199	2134	160	34	46	135	91	0.740264	0.17702	0.160927	0	0.128742	0	0.700032	0.394271	0.410364	0.860959	0.587383	0.482781	0.064371	0.048278	0.032185	1.182813	2.059865	1.963309	2.566785	1.67364	2.26907	2.550692	2.566785	1.601223	17.170904	1.287416	0.273576	0.370132	1.086257	0.732218	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	
ASV000029	4983	676	4	12	9	2919	0	0	134	31	0	147	922	0	5	9	18	0	0	34	33	26	0	0	0	0	4	0	0	0	0	5.439331	0.032185	0.096556	0.072417	23.487287	0	0	1.07821	0.249437	0	1.182813	7.418732	0	0.040232	0.072417	0.144834	0	0	0.273576	0.265529	0.209205	0	0	0	0	0.032185	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	
ASV000021	4664	204	66	48	7	76	0	917	787	41	14	273	418	39	7	9	122	326	509	118	102	88	97	49	137	65	34	14	10	18	69	1.641455	0.531059	0.386225	0.056324	0.611522	0	7.3785	6.332475	0.3299	0.112649	2.196653	3.363373	0.313808	0.056324	0.072417	0.981654	2.623109	4.095591	0.949469	0.820727	0.708079	0.780496	0.394271	1.10235	0.523013	0.273576	0.112649	0.080463	0.144834	0.555198	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	
ASV000017	4498	39	10	18	0	0	0	0	0	623	0	0	13	684	1225	1187	23	21	24	25	55	17	7	24	0	49	6	0	329	79	40	0.313808	0.080463	0.144834	0	0	0	0	0	5.012874	0	0	0.104603	5.503701	9.856775	9.551014	0.185066	0.168973	0.193112	0.201159	0.442549	0.136788	0.056324	0.193112	0	0.394271	0.048278	0	2.647248	0.635661	0.321854	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis_leptospora
ASV000022	3340	54	69	77	495	12	0	172	4	3	199	59	38	152	20	40	41	86	114	38	38	93	44	31	19	52	388	520	161	16	305	0.434503	0.555198	0.619569	3.982942	0.096556	0	1.383972	0.032185	0.024139	1.601223	0.474734	0.305761	1.223045	0.160927	0.321854	0.3299	0.691986	0.917284	0.305761	0.305761	0.74831	0.354039	0.249437	0.152881	0.41841	3.121983	4.1841	1.295462	0.128742	2.454136	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV000023	3318	52	19	26	6	9	0	309	43	456	33	14	24	60	59	5	190	196	286	125	327	168	119	163	180	130	104	25	52	78	60	0.41841	0.152881	0.209205	0.048278	0.072417	0	2.486321	0.345993	3.669134	0.265529	0.112649	0.193112	0.482781	0.474734	0.040232	1.528806	1.577084	2.301255	1.005793	2.631155	1.351786	0.957515	1.311555	1.448342	1.046025	0.83682	0.201159	0.41841	0.627615	0.482781	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000020	3167	0	11	28	11	18	0	0	0	0	0	7	0	1	8	0	0	168	538	169	540	171	123	132	836	105	65	33	35	168	0	0	0.08851	0.225298	0.08851	0.144834	0	0	0	0	0	0.056324	0	0.008046	0.064371	0	0	1.351786	4.328935	1.359833	4.345027	1.375925	0.989701	1.062118	6.726746	0.844866	0.523013	0.265529	0.281622	1.351786	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Campylospora	Campylospora_parvula
ASV000032	3075	9	315	1214	0	0	0	0	41	22	0	0	0	11	2	8	8	573	49	3	34	0	7	732	14	0	15	0	10	2	6	0.072417	2.534599	9.768265	0	0	0	0	0.3299	0.17702	0	0	0	0.08851	0.016093	0.064371	0.064371	4.610557	0.394271	0.024139	0.273576	0	0.056324	5.889926	0.112649	0	0.120695	0	0.080463	0.016093	0.048278	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV000045	3012	454	88	15	430	520	0	52	442	518	53	30	7	2	0	0	14	4	20	83	14	19	50	39	46	66	24	9	0	10	3	3.653042	0.708079	0.120695	3.459929	4.1841	0	0.41841	3.556485	4.168008	0.426456	0.24139	0.056324	0.016093	0	0	0.112649	0.032185	0.160927	0.667847	0.112649	0.152881	0.402317	0.313808	0.370132	0.531059	0.193112	0.072417	0	0.080463	0.024139	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_epicladia
ASV000037	3007	188	2414	82	0	0	0	0	0	0	0	0	0	53	47	44	0	81	0	16	0	0	31	37	0	0	0	0	0	10	4	1.512713	19.423882	0.6598	0	0	0	0	0	0	0	0	0	0.426456	0.378178	0.354039	0	0.651754	0	0.128742	0	0	0.249437	0.297715	0	0	0	0	0	0.080463	0.032185	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps	Metacordyceps_chlamydosporia
